"seasonNum", "episodeNum", "sceneNum", "sceneStart", "sceneEnd", "location", "subLocation", "characters"
1, 1, 32, "0:36:07", "0:36:03", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers"
1, 1, 33, "0:36:03", "0:36:02", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Nancy Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler"
1, 1, 34, "0:36:02", "0:35:52", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers"
1, 1, 35, "0:35:52", "0:35:25", "Hawkins, Indiana", "Hawkins Middle School", "Dustin Henderson, Lucas Sinclair, Mike Wheeler"
1, 1, 36, "0:35:25", "0:34:44", "Hawkins, Indiana", "Hawkins Middle School", "Dustin Henderson, Lucas Sinclair, Mike Wheeler, Troy, James"
1, 1, 37, "0:34:44", "0:34:35", "Hawkins, Indiana", "Hawkins Middle School", "Dustin Henderson, Lucas Sinclair, Mike Wheeler"
1, 1, 38, "0:34:35", "0:34:24", "Hawkins, Indiana", "Hawkins High School", "Nancy Wheeler"
1, 1, 39, "0:34:24", "0:33:39", "Hawkins, Indiana", "Hawkins High School", "Nancy Wheeler, Barbara Holland"
1, 1, 40, "0:33:39", "0:32:23", "Hawkins, Indiana", "Hawkins High School", "Nancy Wheeler, Steve Harrington"
1, 1, 41, "0:32:23", "0:32:16", "Hawkins, Indiana", "Police Station", "Jim Hopper"
1, 1, 42, "0:32:16", "0:31:29", "Hawkins, Indiana", "Police Station", "Jim Hopper, Florence, Officer Powell, Officer Callahan"
1, 1, 43, "0:31:29", "0:29:38", "Hawkins, Indiana", "Police Station", "Jim Hopper, Joyce Byers"
1, 1, 44, "0:29:38", "0:29:32", "Hawkins, Indiana", "Hawkins National Lab", ""
1, 1, 45, "0:29:32", "0:29:23", "Hawkins, Indiana", "Hawkins National Lab", "Dr. Martin Brenner, Lead Agent, Agent"
1, 1, 46, "0:29:23", "0:29:13", "Hawkins, Indiana", "Hawkins National Lab", "Dr. Martin Brenner, Lead Agent, Agent, Scientist"
1, 1, 47, "0:29:13", "0:28:54", "Hawkins, Indiana", "Hawkins National Lab", "Dr. Martin Brenner, Lead Agent, Agent"
1, 1, 48, "0:28:54", "0:27:17", "Hawkins, Indiana", "Hawkins National Lab", "Dr. Martin Brenner, Lead Agent, Agent"
1, 1, 49, "0:27:17", "0:26:57", "Hawkins, Indiana", "Benny's Burgers", "Eleven"
1, 1, 50, "0:26:57", "0:26:44", "Hawkins, Indiana", "Benny's Burgers", "Eleven, Benny Hammond"
1, 1, 51, "0:26:44", "0:25:43", "Hawkins, Indiana", "Benny's Burgers", "Eleven, Benny Hammond, Earl"
1, 1, 52, "0:25:43", "0:25:31", "Hawkins, Indiana", "Benny's Burgers", "Eleven, Benny Hammond"
1, 1, 53, "0:25:31", "0:25:06", "Hawkins, Indiana", "Hawkins Middle School", "Dustin Henderson, Lucas Sinclair, Mike Wheeler, Mr. Clarke"
1, 1, 54, "0:25:06", "0:24:26", "Hawkins, Indiana", "Hawkins Middle School", "Dustin Henderson, Lucas Sinclair, Mike Wheeler, Mr. Clarke"
1, 1, 55, "0:24:26", "0:24:17", "Hawkins, Indiana", "Hawkins Middle School", "Dustin Henderson, Lucas Sinclair, Mike Wheeler, Mr. Clarke, Principal Coleman, Jim Hopper, Officer Callahan"
1, 1, 56, "0:24:17", "0:23:02", "Hawkins, Indiana", "Hawkins Middle School", "Dustin Henderson, Lucas Sinclair, Mike Wheeler, Principal Coleman, Jim Hopper, Officer Callahan"
1, 1, 57, "0:23:02", "0:22:05", "Hawkins, Indiana", "Castle Byers", "Joyce Byers, Will Byers"
1, 1, 58, "0:22:05", "0:21:45", "Hawkins, Indiana", "Castle Byers", "Joyce Byers, Jonathan Byers"
1, 1, 59, "0:21:45", "0:21:37", "Hawkins, Indiana", "Benny's Burgers", "Benny Hammond"
1, 1, 60, "0:21:37", "0:19:51", "Hawkins, Indiana", "Benny's Burgers", "Eleven, Benny Hammond"
1, 1, 61, "0:19:51", "0:19:35", "Hawkins, Indiana", "Benny's Burgers", "Eleven, Benny Hammond"
1, 1, 62, "0:19:35", "0:19:16", "Hawkins, Indiana", "Benny's Burgers", "Eleven"
1, 1, 63, "0:19:16", "0:19:10", "Hawkins, Indiana", "Road", ""
1, 1, 64, "0:19:10", "0:18:21", "Hawkins, Indiana", "Road", "Jim Hopper, Officer Callahan, Officer Powell"
1, 1, 65, "0:18:21", "0:17:58", "Hawkins, Indiana", "Hawkins National Lab", ""
1, 1, 66, "0:17:58", "0:17:01", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers"
1, 1, 67, "0:17:01", "0:16:51", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers, Jim Hopper, Officer Callahan, Officer Powell"
1, 1, 68, "0:16:51", "0:16:12", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers, Jim Hopper, Officer Callahan, Officer Powell"
1, 1, 69, "0:16:12", "0:15:51", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jim Hopper"
1, 1, 70, "0:15:51", "0:14:38", "Hawkins, Indiana", "Byers Home", "Jim Hopper"
1, 1, 71, "0:14:38", "0:14:29", "Hawkins, Indiana", "Byers Home", "Jim Hopper, Officer Callahan"
1, 1, 72, "0:14:29", "0:14:13", "Hawkins, Indiana", "Byers Home", "Jim Hopper, Officer Callahan, Officer Powell"
1, 1, 73, "0:14:13", "0:13:18", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Nancy Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler"
1, 1, 74, "0:13:18", "0:12:57", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler"
1, 1, 75, "0:12:57", "0:12:41", "Hawkins, Indiana", "Wheeler Home", "Ted Wheeler, Karen Wheeler, Holly Wheeler"
1, 1, 76, "0:12:41", "0:11:39", "Hawkins, Indiana", "Woods", "Jim Hopper, Mr. Clarke, Officer Callahan"
1, 1, 77, "0:11:39", "0:11:32", "Hawkins, Indiana", "Woods", "Mr. Clarke, High School Principal"
1, 1, 78, "0:11:32", "0:11:28", "Hawkins, Indiana", "Woods", "Jim Hopper"
1, 1, 79, "0:11:28", "0:11:22", "Hawkins, Indiana", "Wheeler Home", ""
1, 1, 80, "0:11:22", "0:11:20", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler"
1, 1, 81, "0:11:20", "0:11:18", "Hawkins, Indiana", "Sinclair Home", "Lucas Sinclair"
1, 1, 82, "0:11:18", "0:11:14", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler"
1, 1, 83, "0:11:14", "0:11:11", "Hawkins, Indiana", "Sinclair Home", "Lucas Sinclair"
1, 1, 84, "0:11:11", "0:11:09", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler"
1, 1, 85, "0:11:09", "0:11:03", "Hawkins, Indiana", "Sinclair Home", "Lucas Sinclair"
1, 1, 86, "0:11:03", "0:10:56", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler"
1, 1, 87, "0:10:56", "0:10:53", "Hawkins, Indiana", "Sinclair Home", "Lucas Sinclair"
1, 1, 88, "0:10:53", "0:10:46", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler"
1, 1, 89, "0:10:46", "0:10:39", "Hawkins, Indiana", "Sinclair Home", "Lucas Sinclair"
1, 1, 90, "0:10:39", "0:10:35", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler"
1, 1, 91, "0:10:35", "0:10:21", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Steve Harrington"
1, 1, 92, "0:10:21", "0:09:47", "Hawkins, Indiana", "Wheeler Home", "Nancy Wheeler, Steve Harrington"
1, 1, 93, "0:09:47", "0:09:13", "Hawkins, Indiana", "Benny's Burgers", "Eleven, Benny Hammond"
1, 1, 94, "0:09:13", "0:08:54", "Hawkins, Indiana", "Benny's Burgers", "Benny Hammond, Agent Connie Frazier"
1, 1, 95, "0:08:54", "0:08:52", "Hawkins, Indiana", "Benny's Burgers", "Eleven"
1, 1, 96, "0:08:52", "0:08:37", "Hawkins, Indiana", "Benny's Burgers", "Benny Hammond, Agent Connie Frazier"
1, 1, 97, "0:08:37", "0:08:32", "Hawkins, Indiana", "Benny's Burgers", "Agent Connie Frazier, Eleven"
1, 1, 98, "0:08:32", "0:08:27", "Hawkins, Indiana", "Benny's Burgers", "Eleven, Agent"
1, 1, 99, "0:08:27", "0:08:24", "Hawkins, Indiana", "Benny's Burgers", "Agent Connie Frazier, Dr. Martin Brenner"
1, 1, 100, "0:08:24", "0:08:17", "Hawkins, Indiana", "Benny's Burgers", "Agent Connie Frazier, Dr. Martin Brenner, Agent"
1, 1, 101, "0:08:17", "0:08:08", "Hawkins, Indiana", "Benny's Burgers", "Dr. Martin Brenner"
1, 1, 102, "0:08:08", "0:07:25", "Hawkins, Indiana", "Road", "Dustin Henderson, Lucas Sinclair, Mike Wheeler"
1, 1, 103, "0:07:25", "0:05:18", "Hawkins, Indiana", "Wheeler Home", "Nancy Wheeler, Steve Harrington"
1, 1, 104, "0:05:18", "0:05:15", "Hawkins, Indiana", "Byers Home", ""
1, 1, 105, "0:05:15", "0:03:10", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers"
1, 1, 106, "0:03:10", "0:02:31", "Hawkins, Indiana", "Woods", "Dustin Henderson, Lucas Sinclair, Mike Wheeler"
1, 1, 107, "0:02:31", "0:02:18", "Hawkins, Indiana", "Woods", "Dustin Henderson, Lucas Sinclair, Mike Wheeler, Eleven"
1, 2, 0, "0:55:16", "0:55:10", "Hawkins, Indiana", "Wheeler Home", ""
1, 2, 1, "0:55:10", "0:54:15", "Hawkins, Indiana", "Wheeler Home", "Eleven, Dustin Henderson, Lucas Sinclair, Mike Wheeler"
1, 2, 2, "0:54:15", "0:53:40", "Hawkins, Indiana", "Wheeler Home", "Eleven, Mike Wheeler"
1, 2, 3, "0:53:40", "0:52:28", "Hawkins, Indiana", "Wheeler Home", "Dustin Henderson, Lucas Sinclair, Mike Wheeler"
1, 2, 4, "0:52:28", "0:52:11", "Hawkins, Indiana", "Wheeler Home", "Eleven, Dustin Henderson, Lucas Sinclair, Mike Wheeler"
1, 2, 5, "0:52:11", "0:51:07", "Hawkins, Indiana", "Wheeler Home", "Eleven, Mike Wheeler"
1, 2, 6, "0:51:07", "0:50:49", "Hawkins, Indiana", "Wheeler Home", "Eleven"
1, 2, 7, "0:49:46", "0:49:34", "Hawkins, Indiana", "Byers Home", "Agent Repairman"
1, 2, 8, "0:49:34", "0:48:57", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers"
1, 2, 9, "0:48:57", "0:47:14", "Hawkins, Indiana", "Byers Home", "Joyce Byers, Jonathan Byers, Jim Hopper"
1, 2, 10, "0:47:14", "0:46:39", "Hawkins, Indiana", "Byers Home", "Jonathan Byers, Jim Hopper"
1, 2, 11, "0:46:39", "0:46:33", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler"
1, 2, 12, "0:46:33", "0:46:07", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Nancy Wheeler, Holly Wheeler, Karen Wheeler, Ted Wheeler"
1, 2, 13, "0:46:07", "0:46:03", "Hawkins, Indiana", "Wheeler Home", "Eleven"
1, 2, 14, "0:46:03", "0:44:18", "Hawkins, Indiana", "Wheeler Home", "Eleven, Mike Wheeler"
1, 2, 15, "0:44:18", "0:44:12", "Hawkins, Indiana", "Wheeler Home", "Eleven"
1, 2, 16, "0:44:12", "0:44:06", "Hawkins, Indiana", "Hawkins National Lab", "Dr. Martin Brenner, Agent Connie Frazier, Lead Agent"
1, 2, 17, "0:44:06", "0:43:51", "Hawkins, Indiana", "Hawkins National Lab", "Dr. Martin Brenner, Agent Connie Frazier, Lead Agent"
1, 2, 18, "0:43:51", "0:43:16", "Hawkins, Indiana", "Woods", "Jim Hopper, Officer Powell, Officer Callahan"
1, 2, 19, "0:43:16", "0:43:05", "Hawkins, Indiana", "Woods", "Officer Powell, Officer Callahan"
1, 2, 20, "0:43:05", "0:42:58", "Hawkins, Indiana", "Hawkins High School", ""
1, 2, 21, "0:42:58", "0:42:53", "Hawkins, Indiana", "Hawkins High School", "Nancy Wheeler, Barbara Holland"
1, 2, 22, "0:42:53", "0:42:15", "Hawkins, Indiana", "Hawkins High School", "Nancy Wheeler, Barbara Holland, Steve Harrington, Tommy H., Carol"
1, 2, 23, "0:42:15", "0:41:19", "Hawkins, Indiana", "Hawkins High School", "Nancy Wheeler, Barbara Holland, Steve Harrington, Tommy H., Carol, Jonathan Byers"
1, 2, 24, "0:41:19", "0:41:01", "Hawkins, Indiana", "Hawkins High School", "Jonathan Byers"
1, 2, 25, "0:41:01", "0:40:25", "Hawkins, Indiana", "Hawkins Middle School", "Dustin Henderson, Lucas Sinclair, Mr. Clarke"
1, 2, 26, "0:40:25", "0:40:10", "Hawkins, Indiana", "Wheeler Home", "Karen Wheeler, Mike Wheeler"
1, 2, 27, "0:40:10", "0:38:54", "Hawkins, Indiana", "Wheeler Home", "Eleven, Mike Wheeler"
1, 2, 28, "0:38:54", "0:38:30", "Hawkins, Indiana", "Leaving Hawkins", "Jonathan Byers"
1, 2, 29, "0:38:30", "0:37:05", "Hawkins, Indiana", "Byers Home", "Jonathan Byers, Will Byers"
1, 2, 30, "0:37:05", "0:37:01", "Hawkins, Indiana", "Leaving Hawkins", "Jonathan Byers"
1, 2, 31, "0:37:01", "0:36:55", "Hawkins, Indiana", "Downtown Hawkins", ""
1, 2, 32, "0:36:55", "0:36:47", "Hawkins, Indiana", "Downtown Hawkins", "Joyce Byers"
1, 2, 33, "0:36:47", "0:35:19", "Hawkins, Indiana", "Downtown Hawkins", "Joyce Byers, Mr. Melvald"
1, 2, 34, "0:35:19", "0:35:06", "Hawkins, Indiana", "Byers Home", "Agent Repairman"
1, 2, 35, "0:35:06", "0:34:50", "Hawkins, Indiana", "Byers Home", "Dr. Martin Brenner"
1, 2, 36, "0:34:50", "0:34:07", "Hawkins, Indiana", "Byers Home", "Dr. Martin Brenner"
1, 2, 37, "0:34:07", "0:33:02", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Eleven"
1, 2, 38, "0:33:02", "0:33:01", "Hawkins, Indiana", "Wheeler Home", "Karen Wheeler"
1, 2, 39, "0:33:01", "0:32:56", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Eleven"
1, 2, 40, "0:32:56", "0:32:45", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Eleven, Karen Wheeler, Holly Wheeler"
1, 2, 41, "0:32:45", "0:32:16", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Eleven"
1, 2, 42, "0:32:16", "0:32:04", "Hawkins, Indiana", "Wheeler Home", "Eleven"
1, 2, 43, "0:32:04", "0:31:58", "Hawkins, Indiana", "Hawkins National Lab", "Eleven"
1, 2, 44, "0:31:58", "0:31:51", "Hawkins, Indiana", "Hawkins National Lab", "Eleven, Dr. Martin Brenner"
1, 2, 45, "0:31:51", "0:31:25", "Hawkins, Indiana", "Hawkins National Lab", "Eleven"
1, 2, 46, "0:31:25", "0:31:22", "Hawkins, Indiana", "Wheeler Home", "Eleven"
1, 2, 47, "0:31:22", "0:30:40", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Karen Wheeler"
1, 2, 48, "0:30:40", "0:30:20", "Hawkins, Indiana", "Wheeler Home", "Mike Wheeler, Eleven"
1, 2, 49, "0:30:20", "0:29:44", "Hawkins, Indiana", "Byers Home", "Joyce Byers"
1, 2, 50, "0:29:44", "0:29:26", "Hawkins, Indiana", "Quarry", "Officer Powell, Officer Callahan, Jim Hopper"
1, 2, 51, "0:29:26", "0:29:02", "Hawkins, Indiana", "Quarry", "Officer Callahan, Jim Hopper"
1, 2, 52, "0:29:02", "0:28:51", "Hawkins, Indiana", "Benny's Burgers", "Officer Powell, Officer Callahan, Jim Hopper"
1, 2, 53, "0:28:51", "0:28:16", "Hawkins, Indiana", "Benny's Burgers", "Officer Powell, Officer Callahan, Jim Hopper, Benny Hammond"
1, 2, 54, "0:28:16", "0:27:52", "Indianapolis, Indiana", "Lonnie's Home", "Jonathan Byers"
1, 2, 55, "0:27:52", "0:27:39", "Indianapolis, Indiana", "Lonnie's Home", "Jonathan Byers"
1, 2, 56, "0:27:39", "0:27:22", "Indianapolis, Indiana", "Lonnie's Home", "Jonathan Byers, Cynthia"
1, 2, 57, "0:27:22", "0:27:19", "Indianapolis, Indiana", "Lonnie's Home", "Jonathan Byers"
1, 2, 58, "0:27:19", "0:26:59", "Indianapolis, Indiana", "Lonnie's Home", "Jonathan Byers, Lonnie Byers, Cynthia"
1, 2, 59, "0:26:59", "0:26:52", "Hawkins, Indiana", "Wheeler Home", "Lucas Sinclair, Dustin Henderson"
1, 2, 60, "0:26:52", "0:25:32", "Hawkins, Indiana", "Wheeler Home", "Lucas Sinclair, Dustin Henderson, Mike Wheeler, Eleven"
1, 2, 61, "0:25:32", "0:25:29", "Indianapolis, Indiana", "Lonnie's Home", ""
1, 2, 62, "0:25:29", "0:24:21", "Indianapolis, Indiana", "Lonnie's Home", "Lonnie Byers, Jonathan Byers"
1, 2, 63, "0:24:21", "0:24:13", "Indianapolis, Indiana", "Lonnie's Home", "Lonnie Byers, Cynthia"
1, 2, 64, "0:24:13", "0:22:32", "Hawkins, Indiana", "Police Station", "Earl, Jim Hopper, Officer Callahan"
1, 2, 65, "0:22:32", "0:22:12", "Hawkins, Indiana", "Wheeler Home", "Nancy Wheeler"
1, 2, 66, "0:22:12", "0:21:14", "Hawkins, Indiana", "Wheeler Home", "Nancy Wheeler, Lucas Sinclair, Dustin Henderson, Mike Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler"
1, 2, 67, "0:21:14", "0:21:07", "Hawkins, Indiana", "Wheeler Home", "Nancy Wheeler, Lucas Sinclair, Dustin Henderson, Mike Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler, Eleven"
1, 2, 68, "0:21:07", "0:20:58", "Hawkins, Indiana", "Wheeler Home", "Nancy Wheeler, Lucas Sinclair, Dustin Henderson, Mike Wheeler, Ted Wheeler, Karen Wheeler, Holly Wheeler"
1, 2, 69, "0:20:58", "0:20:46", "Hawkins, Indiana", "Benny's Burgers", ""
1, 2, 70, "0:20:46", "0:20:39", "Hawkins, Indiana", "Woods", ""
1, 2, 71, "0:20:39", "0:20:24", "Hawkins, Indiana", "Woods", "Jim Hopper, Officer Callahan, Officer Powell"
1, 2, 72, "0:20:24", "0:19:55", "Hawkins, Indiana", "Woods Outside Hawkins National Lab", "Jim Hopper, Officer Callahan, Officer Powell, Mr. Clarke"
1, 2, 73, "0:19:55", "0:19:42", "Hawkins, Indiana", "Woods Outside Hawkins National Lab", "Jim Hopper, Officer Callahan, Officer Powell"
1, 2, 74, "0:19:55", "0:19:42", "Hawkins, Indiana", "Woods Outside Hawkins National Lab", "Jim Hopper, Officer Callahan, Officer Powell"
1, 2, 75, "0:19:42", "0:19:31", "Hawkins, Indiana", "Woods Outside Hawkins National Lab", ""
1, 2, 76, "0:19:31", "0:19:24", "Hawkins, Indiana", "Wheeler Home", "Eleven"
1, 2, 77, "0:19:24", "0:18:15", "Hawkins, Indiana", "Wheeler Home", "Eleven, Mike Wheeler, Dustin Henderson, Lucas Sinclair"
1, 2, 78, "0:18:15", "0:17:08", "Hawkins, Indiana", "Barb's Car", "Nancy Wheeler, Barbara Holland"
1, 2, 79, "0:17:08", "0:16:50", "Hawkins, Indiana", "Harrington Home", "Nancy Wheeler, Barbara Holland"
1, 2, 80, "0:16:50", "0:16:45", "Hawkins, Indiana", "Harrington Home", "Nancy Wheeler, Barbara Holland, Steve Harrington"
1, 2, 81, "0:16:45", "0:15:11", "Hawkins, Indiana", "Hopper Home", "Jim Hopper, Sandra"
1, 2, 82, "0:15:11", "0:13:38", "Hawkins, Indiana", "Wheeler Home", "Eleven, Mike Wheeler, Dustin Henderson, Lucas Sinclair"
1, 2, 83, "0:13:38", "0:13:03", "Hawkins, Indiana", "Road", "Jonathan Byers"
1, 2, 84, "0:13:03", "0:12:16", "Hawkins, Indiana", "Woods", "Jonathan Byers"
1, 2, 85, "0:12:16", "0:12:13", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers, Steve Harrington, Nancy Wheeler, Tommy H., Carol, Barbara Holland"
1, 2, 86, "0:12:13", "0:11:33", "Hawkins, Indiana", "Harrington Home", "Steve Harrington, Nancy Wheeler, Tommy H., Carol, Barbara Holland"
1, 2, 87, "0:11:33", "0:11:32", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers"
1, 2, 88, "0:11:32", "0:10:30", "Hawkins, Indiana", "Harrington Home", "Steve Harrington, Nancy Wheeler, Tommy H., Carol, Barbara Holland"
1, 2, 89, "0:10:30", "0:10:24", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers, Steve Harrington, Nancy Wheeler, Tommy H., Carol"
1, 2, 90, "0:10:24", "0:09:57", "Hawkins, Indiana", "Harrington Home", "Steve Harrington, Nancy Wheeler, Tommy H., Carol"
1, 2, 91, "0:09:57", "0:09:56", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers"
1, 2, 92, "0:09:56", "0:09:51", "Hawkins, Indiana", "Harrington Home", "Steve Harrington, Nancy Wheeler"
1, 2, 93, "0:09:51", "0:09:46", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers"
1, 2, 94, "0:09:46", "0:09:44", "Hawkins, Indiana", "Harrington Home", "Steve Harrington, Nancy Wheeler"
1, 2, 95, "0:09:44", "0:09:42", "Hawkins, Indiana", "Byers Home", ""
1, 2, 96, "0:09:42", "0:07:06", "Hawkins, Indiana", "Byers Home", "Joyce Byers"
1, 2, 97, "0:07:06", "0:06:05", "Hawkins, Indiana", "Byers Home", "Joyce Byers"
1, 2, 98, "0:06:05", "0:05:48", "Hawkins, Indiana", "Harrington Home", "Steve Harrington, Nancy Wheeler, Tommy H., Carol"
1, 2, 99, "0:05:48", "0:05:45", "Hawkins, Indiana", "Harrington Home", "Steve Harrington, Nancy Wheeler"
1, 2, 100, "0:05:45", "0:05:42", "Hawkins, Indiana", "Harrington Home", "Steve Harrington, Nancy Wheeler, Barbara Holland"
1, 2, 101, "0:05:42", "0:05:04", "Hawkins, Indiana", "Harrington Home", "Nancy Wheeler, Barbara Holland"
1, 2, 102, "0:05:04", "0:05:01", "Hawkins, Indiana", "Harrington Home", "Barbara Holland"
1, 2, 103, "0:05:01", "0:04:58", "Hawkins, Indiana", "Harrington Home", "Nancy Wheeler"
1, 2, 104, "0:04:58", "0:04:55", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers"
1, 2, 105, "0:04:55", "0:04:04", "Hawkins, Indiana", "Harrington Home", "Nancy Wheeler, Steve Harrington"
1, 2, 106, "0:04:04", "0:03:49", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers"
1, 2, 107, "0:03:49", "0:03:43", "Hawkins, Indiana", "Harrington Home", "Barbara Holland"
1, 2, 108, "0:03:43", "0:03:39", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers"
1, 2, 109, "0:03:39", "0:03:04", "Hawkins, Indiana", "Harrington Home", "Barbara Holland"
1, 2, 110, "0:03:04", "0:03:03", "Hawkins, Indiana", "Harrington Home", "The Monster"
1, 2, 111, "0:03:03", "0:02:48", "Hawkins, Indiana", "Harrington Home", "Jonathan Byers"
1, 2, 112, "0:02:48", "0:02:32", "Hawkins, Indiana", "Harrington Home", "Nancy Wheeler, Steve Harrington"
1, 2, 113, "0:02:32", "0:02:24", "Hawkins, Indiana", "Harrington Home", ""
